# Cluster,ID_Schmidt16,ra,dec,z_lya 
A2744,00463,3.604573038,-30.409357092,6.73  
A2744,00844,3.570068923,-30.403715689,6.34  
MACS1423,00648,215.945534620,24.072435174,6.88   
MACS1423,01102,215.935869430,24.078415134,6.96   
MACS2129,00677,322.353239440,-7.697441500,6.88   
MACS2129,00899,322.343220360,-7.693382243,8.10  
MACS2129,01516,322.353942530,-7.681646419,6.89   
RXJ2248,00207,342.185601570,-44.5472244187,8.55  
A2744,00233,3.572513845,-30.413266331,8.17  
A2744,01610,3.591507273,-30.392303082,5.91  
A2744,02273,3.586488763,-30.381334667,6.17 
MACS0717,00370,109.377007840,37.736462661,6.51  
MACS1423,00435,215.942403590,24.069659639,7.63 
MACS1423,00539,215.932958480,24.070875663,6.13  
MACS1423,01018,215.958132710,24.077013896,10.27   
MACS1423,01169,215.942112130,24.079404012,6.99  
MACS1423,01412,215.947908420,24.082450925,6.77  
MACS1423,01619,215.935606220,24.086476168,7.17  
MACS2129,01182,322.344533970,-7.688477035,8.99  
RXJ1347,00627,206.893075800,-11.760237310,7.84  
RXJ1347,00997,206.895685760,-11.754637616,6.79  
RXJ1347,01241,206.899894840,-11.751082858,7.14  
RXJ2248,00404,342.201879400,-44.542663866,9.89  
RXJ2248,01953,342.192399500,-44.515663484,6.50  
