cluster,id,ra,dec,zphot
A2744,27440011.0,3.6013623,-30.3792165,8.0
A2744,27440012.0,3.603856,-30.381905,8.6
A2744,27440013.0,3.572515,-30.413267,8.5
A2744,27440014.0,3.591724,-30.380838,8.5
A2744,27440015.0,3.579479,-30.386534,8.3
A2744,27440016.0,3.603582,-30.382442,7.9
A2744,27440017.0,3.576694,-30.383921,7.1
A2744,27440035.0,3.59502,-30.40075,10.0
A2744,27440036.0,3.57753,-30.40871,10.0
A2744,27440041.0,3.58843,-30.41034,7.29
A2744,27440042.0,3.6007742,-30.400966,7.17
A2744,27440043.0,3.605268,-30.380613,7.05
A2744,27440044.0,3.596525,-30.409031,7.25
A2744,27440046.0,3.5858,-30.41174,7.25
A2744,27440075.0,3.598108,-30.382393,7.64
A2744,27440077.0,3.59216,-30.409925,7.39
A2744,27440078.0,3.5951375,-30.381131,7.71
A2744,27440079.0,3.588287,-30.410333,7.5
A2744,27440080.0,3.60094,-30.400824,7.45
A2744,27440084.0,3.48888,-30.39618,9.3
A2744,27440085.0,3.47354,-30.38403,8.9
A2744,27440108.0,3.6045229,-30.3804681,8.0
A2744,27440109.0,3.6033938,-30.3822478,8.2
A2744,27440110.0,3.596098,-30.3858332,8.05
A2744,27440111.0,3.6064684,-30.3809923,8.0
A2744,27440112.0,3.603864,-30.382265,8.4
A2744,27440113.0,3.606575,-30.380928,7.6
A2744,27440114.0,3.588985,-30.378662,7.89
A2744,27440115.0,3.604005,-30.382309,7.9
A2744,27440116.0,3.592285,-30.409911,7.3
A2744,27440117.0,3.605058,-30.381464,7.7
A2744,27440118.0,3.59251,-30.40149,9.0
MACS0416,4160011.0,64.034077,-24.072715,8.0
MACS0416,4160013.0,64.037999,-24.064596,10.0
MACS0416,4160020.0,64.037977,-24.088829,8.0
MACS0416,4160028.0,64.04313,-24.05791,8.7
MACS0416,4160029.0,64.04621,-24.09134,8.6
MACS0416,4160030.0,64.14988,-24.11335,8.7
MACS0416,4160031.0,64.13217,-24.11299,9.0
MACS0416,4160032.0,64.15175,-24.10845,9.0
MACS0416,4160033.0,64.12679,-24.10032,8.4
MACS0416,4160034.0,64.043915,-24.097179,7.19
MACS0416,4160035.0,64.035164,-24.093821,8.3
MACS0416,4160036.0,64.036835,-24.092756,7.27
MACS0416,4160037.0,64.036697,-24.090487,7.31
MACS0416,4160038.0,64.03582,-24.090475,7.19
MACS0416,4160039.0,64.02742,-24.089975,7.59
MACS0416,4160041.0,64.017883,-24.088556,7.05
MACS0416,4160042.0,64.031494,-24.088057,7.06
MACS0416,4160043.0,64.052307,-24.08744,8.07
MACS0416,4160044.0,64.052376,-24.087282,8.06
MACS0416,4160045.0,64.057442,-24.075573,7.86
MACS0416,4160046.0,64.057785,-24.075218,7.05
MACS0416,4160047.0,64.018829,-24.074118,7.26
MACS0416,4160048.0,64.040733,-24.068832,7.47
MACS0416,4160049.0,64.038971,-24.069519,7.72
MACS0416,4160050.0,64.049583,-24.064589,8.11
MACS0416,4160051.0,64.046509,-24.06163,8.43
MACS0416,4160052.0,64.026138,-24.053949,7.01
MACS0416,4160053.0,64.02626,-24.053019,7.35
MACS0416,4160054.0,64.019447,-24.069029,7.53
MACS0416,4160078.0,64.04799,-24.08167,8.48
MACS0416,4160079.0,64.03917,-24.09318,8.6
MACS0416,4160080.0,64.04804,-24.08143,8.72
MACS0416,4160081.0,64.03756,-24.0881,8.4
MACS0416,4160082.0,64.060326,-24.06497,7.69
MACS0416,4160083.0,64.15167,-24.10823,9.1
A370,25.0,39.9695589,-1.6177948,9.468
A370,81.0,39.9646658,-1.6137092,11.521
A370,324.0,39.9493801,-1.6052846,7.081
A370,729.0,39.9682776,-1.5972476,7.081
A370,849.0,39.9661264,-1.5947708,8.106
A370,1333.0,39.9758721,-1.5872611,8.289
A370,1369.0,39.9483089,-1.5865366,7.326
A370,1801.0,39.9564984,-1.5816216,8.106
A370,1805.0,39.9694772,-1.5827811,7.244
A370,1858.0,39.9824256,-1.5810942,8.106
A370,1988.0,39.949358,-1.5789869,11.397
A370,1991.0,39.9835973,-1.5796314,7.494
A370,2021.0,39.9493732,-1.5790616,8.106
A370,2142.0,39.9552747,-1.5779113,8.667
A370,2493.0,39.9607621,-1.57416,7.839
A370,2513.0,39.9871274,-1.5735349,7.081
A370,2644.0,39.9873743,-1.5728439,7.751
A370,2653.0,39.9554885,-1.572606,8.197
A370,2796.0,39.9838884,-1.5721659,9.261
A370,2867.0,39.9921523,-1.5708918,8.763
A370,3020.0,39.9638207,-1.5693621,8.016
A370,3441.0,39.9790219,-1.5647342,10.795
A370,3467.0,39.9785261,-1.5647777,11.9
A370,3485.0,39.9774493,-1.5646875,11.9
A370,3917.0,39.9610386,-1.5576999,10.563
A370,4109.0,39.9777577,-1.5751972,7.001
MACS1423,95.0,215.9347531,24.0635911,8.016
MACS1423,117.0,215.933582,24.0650167,7.162
MACS1423,252.0,215.9424023,24.0696585,8.289
MACS1423,736.0,215.9288143,24.0839174,7.664
MACS1423,1093.0,215.9356853,24.0563773,7.579
MACS1423,1260.0,215.958358,24.0682169,9.785
MACS1423,1352.0,215.9255983,24.0725885,8.106
MACS1423,1482.0,215.9376634,24.0784655,7.751
MACS1423,1675.0,215.954487,24.0871565,8.667
MACS1423,1683.0,215.9414864,24.0876247,7.494
MACS1423,1781.0,215.9661757,24.0927149,7.001
MACS1149,1.0,177.4122569,22.3682271,7.001
MACS1149,21.0,177.4137828,22.4255286,7.244
MACS1149,44.0,177.4119975,22.4237479,7.41
MACS1149,49.0,177.4077015,22.4231677,7.41
MACS1149,64.0,177.4098441,22.422207,8.016
MACS1149,86.0,177.4152131,22.4210095,7.41
MACS1149,115.0,177.3891209,22.4198237,7.41
MACS1149,186.0,177.4086079,22.4184133,8.197000000000001
MACS1149,211.0,177.4177469,22.4174421,7.3260000000000005
MACS1149,302.0,177.4106702,22.4163875,8.197000000000001
MACS1149,364.0,177.3819827,22.4156401,7.41
MACS1149,367.0,177.4029397,22.4154972,7.8389999999999995
MACS1149,520.0,177.4176745,22.4136865,9.785
MACS1149,583.0,177.3775154,22.4132411,8.197000000000001
MACS1149,613.0,177.3981045,22.4128663,8.197000000000001
MACS1149,617.0,177.3899493,22.4127099,9.16
MACS1149,641.0,177.3759955,22.4124172,7.41
MACS1149,696.0,177.4174034,22.4120432,8.197000000000001
MACS1149,709.0,177.4172628,22.4117869,9.892999999999999
MACS1149,759.0,177.4178534,22.4110965,8.197000000000001
MACS1149,767.0,177.3829893,22.4120362,7.3260000000000005
MACS1149,776.0,177.388984,22.4108398,8.197000000000001
MACS1149,789.0,177.3916898,22.4106668,8.959
MACS1149,807.0,177.3953873,22.4102327,7.8389999999999995
MACS1149,914.0,177.4089182,22.4091873,9.892999999999999
MACS1149,958.0,177.3732016,22.4086162,9.572000000000001
MACS1149,1238.0,177.39464,22.4056605,8.016
MACS1149,1307.0,177.3799782,22.4050409,8.197000000000001
MACS1149,1365.0,177.4140795,22.4044482,8.197000000000001
MACS1149,1391.0,177.3949402,22.4043503,8.289
MACS1149,1409.0,177.4083416,22.4041155,9.892999999999999
MACS1149,1521.0,177.3964278,22.4028575,9.892999999999999
MACS1149,1528.0,177.4128566,22.4029268,8.197000000000001
MACS1149,1538.0,177.3794162,22.4027224,9.892999999999999
MACS1149,1689.0,177.3851487,22.4014936,7.162000000000001
MACS1149,1849.0,177.4246227,22.3995339,7.41
MACS1149,1991.0,177.4266663,22.3976551,7.3260000000000005
MACS1149,1993.0,177.4265029,22.3972795,7.41
MACS1149,1994.0,177.4265812,22.3973374,7.41
MACS1149,2019.0,177.4267512,22.3980025,7.41
MACS1149,2037.0,177.4259561,22.3977461,7.244
MACS1149,2039.0,177.4256634,22.3976966,7.41
