#cluster,ID (ERS),RA,DEC,z_best
A2744,1001.0,3.601353,-30.379217,7.51905
A2744,1002.0,3.604516,-30.380469,8.2167
A2744,1003.0,3.606572,-30.380932,7.5831
A2744,1004.0,3.60646,-30.380994,7.84715
A2744,1005.0,3.603382,-30.382251,8.25215
A2744,1007.0,3.596089,-30.385834,8.2376
A2744,1008.0,3.576898,-30.386325,6.21445
A2744,1010.0,3.580451,-30.405042,6.62585
A2744,1011.0,3.606384,-30.407279,6.2537
A2744,1012.0,3.60062,-30.410292,6.41045
A2744,2015.0,3.60632226,-30.38006061,1.3375
A2744,2016.0,3.58886297,-30.38029116,1.3575
A2744,2017.0,3.57177965,-30.38043683,1.675
A2744,2018.0,3.57340773,-30.38077029,1.7575
A2744,2019.0,3.60755884,-30.38134717,1.355
A2744,2020.0,3.59218107,-30.38176643,1.34
A2744,2021.0,3.59110975,-30.3817046,1.8925
A2744,2022.0,3.59727653,-30.38343646,1.349
A2744,2023.0,3.57020168,-30.38374349,1.865
A2744,2024.0,3.59122177,-30.38671586,1.39
A2744,2025.0,3.58697936,-30.38701764,1.86
A2744,2026.0,3.57683467,-30.3880233,1.355
A2744,2027.0,3.59143702,-30.38951755,1.3575
A2744,2028.0,3.58887633,-30.39181693,1.34
A2744,2029.0,3.59994827,-30.39355383,1.345
A2744,2030.0,3.60009125,-30.39375925,1.345
A2744,2031.0,3.57675466,-30.393627,1.3675
A2744,2032.0,3.57508876,-30.39968695,1.744
A2744,2033.0,3.57695458,-30.40086292,1.3425
A2744,2034.0,3.59853679,-30.40179719,2.02
A2744,2035.0,3.59406046,-30.40799768,2.02
A2744,2036.0,3.57889348,-30.40999815,1.2625
A2744,2037.0,3.58642691,-30.40934985,2.02
A2744,2038.0,3.57669873,-30.41018499,1.66
A2744,2039.0,3.57458368,-30.41227824,1.3665
A2744,2040.0,3.59979328,-30.41393753,1.773
A2744,2041.0,3.57503341,-30.41222065,1.3775
A2744,2042.0,3.57785605,-30.38120782,3.3756
A2744,2043.0,3.56864299,-30.40253262,2.5819
A2744,2044.0,3.57078852,-30.41019328,2.7427
A2744,2045.0,3.5825422178,-30.402327767,1.8876
A2744,3046.0,3.587885696,-30.383471124,1.82202
A2744,3047.0,3.6087148011,-30.386241486,1.96153
A2744,3049.0,3.5952654603,-30.394988651,2.21283
A2744,3050.0,3.6052872378,-30.401668308,2.36969
A2744,3052.0,3.5971969943,-30.404580145,1.86452
A2744,3053.0,3.5771591552,-30.410107568,1.83479
A2744,3054.0,3.5832326222,-30.416166998,2.91892
A2744,4055.0,3.5891329086,-30.379748259,1.20042
A2744,4056.0,3.6105431408,-30.383215582,1.41079
A2744,4057.0,3.6107514627,-30.381083091,1.64573
A2744,4062.0,3.5937634626,-30.402173203,1.17002
A2744,4064.0,3.5856160837,-30.415137449,1.1046
A2744,5065.0,3.590781,-30.379413,5.56395
A2744,5066.0,3.590728,-30.379575,5.4648
A2744,5067.0,3.603424,-30.38322,5.7106
A2744,5068.0,3.610255,-30.385604,5.6632
A2744,5071.0,3.591432,-30.396689,5.59
A2744,5072.0,3.572518,-30.399326,5.1188
A2744,5073.0,3.570068,-30.40372,5.7365
A2744,5076.0,3.571785,-30.40648,5.3913
A2744,5077.0,3.604758,-30.409287,5.94455
A2744,5079.0,3.603215,-30.410353,5.9731
A2744,5080.0,3.592942,-30.413331,5.78745
A2744,6082.0,3.5938048,-30.4154482,6.5876
A2744,6086.0,3.6010732,-30.4039891,6.3271
A2744,6087.0,3.5676318,-30.4118712,6.2737
A2744,7092.0,3.6054351,-30.3965962,5.7709
A2744,7113.0,3.5726699,-30.3897548,5.2896
A2744,7114.0,3.596558,-30.4090085,5.283
A2744,7115.0,3.6000566,-30.4043929,5.283
A2744,7116.0,3.5879242,-30.4116123,5.283
A2744,7119.0,3.5979526,-30.3920213,5.1349
A2744,7120.0,3.5954251,-30.3868158,5.0537
A2744,7121.0,3.5957317,-30.386781,5.0537
A2744,7122.0,3.568329,-30.4045843,5.0193
A2744,8123.0,3.5943837,-30.3858036,4.9823
A2744,8133.0,3.5823506,-30.3876776,4.8018
A2744,8135.0,3.6020177,-30.4157401,4.7804
A2744,8137.0,3.5837216,-30.4041048,4.7594
A2744,8142.0,3.574497,-30.3887736,4.7125
A2744,8144.0,3.6042565,-30.3872463,4.6974
A2744,8146.0,3.5675589,-30.4062526,4.6315
A2744,8147.0,3.571465,-30.388822,4.4013
A2744,8153.0,3.6018985,-30.4050066,4.3361
A2744,8156.0,3.5871312,-30.3887818,4.3006
A2744,8163.0,3.5693418,-30.4087323,4.0423
A2744,8165.0,3.5682143,-30.4003583,4.0253
A2744,8171.0,3.585842,-30.392246,4.0225
A2744,8172.0,3.5799619,-30.3947734,4.0225
A2744,8178.0,3.6005444,-30.4122025,4.0207
A2744,8182.0,3.5774867,-30.3995362,4.015
A2744,8184.0,3.5887928,-30.3938037,3.9803
A2744,8185.0,3.5893512,-30.3938605,3.9803
A2744,8190.0,3.6031803,-30.4157094,3.9538
A2744,8191.0,3.6047111,-30.3950583,3.9469
A2744,8195.0,3.5782975,-30.4113274,3.8123
A2744,8198.0,3.600705,-30.4046049,3.785
A2744,8199.0,3.593816,-30.4107662,3.785
A2744,8200.0,3.5934451,-30.4108401,3.785
A2744,8201.0,3.5732545,-30.4029762,3.7794
A2744,8209.0,3.5909579,-30.4032577,3.6915
A2744,8210.0,3.5973131,-30.400608,3.6915
A2744,8211.0,3.6004783,-30.3966468,3.6893
A2744,8214.0,3.569293,-30.4096279,3.581
A2744,8220.0,3.5956382,-30.4016035,3.5769
